seed,V,fell,n_trials,wall_s,coupling_gain,w_swing,w_stance,F_FAST,STOP_GAIN,hip_amp,knee_amp,b
1,0.9761136124767367,False,60,953.8,9.1225,16.5011,25.0,60.0,0.5,0.1575,0.5,10.0
4,0.9742350247495497,False,60,958.9,5.8562,10.0,25.0,60.0,0.5,0.1,0.5,1.2911
5,0.960118701600492,False,60,961.2,7.6577,25.0,14.4997,56.123,0.3726,0.1,0.5,0.1
3,0.9536410907758539,False,60,961.8,9.0913,13.5867,21.305,30.0331,0.5,0.1122,0.5493,10.0
2,0.983618082234675,False,60,962.6,7.607,13.0498,25.0,52.4044,0.5,0.1,0.5,10.0
7,0.9569324572320477,False,60,974.5,5.956,17.5786,24.8016,39.7923,0.2313,0.1099,0.751,10.0
0,0.9703716996854364,False,60,981.8,8.3928,18.3163,25.0,25.0,0.5,0.1,0.5,6.388
6,0.9718767341956209,False,60,983.7,12.0,21.6171,25.0,60.0,0.4796,0.1,0.5,8.8137
9,0.972502394585432,False,60,988.4,12.0,15.4988,24.9697,39.2091,0.3781,0.1024,0.6493,2.1905
8,0.9673084146181514,False,60,990.7,12.0,24.359,23.0835,25.0,0.5,0.1451,0.5,10.0
14,0.976992554731567,False,60,800.2,12.0,18.2951,24.8479,60.0,0.5,0.1,0.5,10.0
10,0.9711631325658538,False,60,819.7,4.0,12.6111,25.0,25.0,0.1496,0.1,0.5,10.0
12,0.9684180903402322,False,60,825.0,4.6687,11.2952,23.7524,25.0,0.3345,0.1068,0.5,6.0071
17,0.9638797981363593,False,60,806.0,12.0,25.0,25.0,25.0,0.2495,0.1,0.5,0.1
11,0.9678921161459404,False,60,832.9,4.0,20.045,25.0,60.0,0.1899,0.1289,0.5,7.1729
16,0.9710163252117928,False,60,818.4,11.4052,16.5604,25.0,34.8028,0.05,0.1,0.5,9.869
18,0.9699674628318073,False,60,813.8,8.6079,25.0,20.7166,25.0,0.5,0.1,0.5,0.1
19,0.964095571766304,False,60,816.4,12.0,10.0,25.0,60.0,0.5,0.1364,0.5,10.0
15,0.962876584985759,False,60,834.0,4.0,15.4812,25.0,47.1198,0.5,0.1,0.5,0.1
13,0.9790315328736888,False,60,864.0,8.9673,12.7967,25.0,25.0,0.5,0.1,0.5,10.0
