slope_deg,seed,method,trigger,triggered,fell,trigger_t,fall_t,squash_t,t_surv,n_windows,mean_J,best_J,win_to_good,n_proposals,n_pauses,n_triggers,max_roll,dist_on_slope,baseline_ce,npz
10.0,0,bo,dt,1,1,31.19,32.63,nan,1.44,1,-2.0,-2.0,-1,1,0,1,74.06795605555602,-0.13154871000004498,2.2755555555555556,runs/slope10_seed0_bo_dt_noafb.npz
10.0,0,grid,dt,1,1,31.19,32.63,nan,1.44,1,-2.0,-2.0,-1,1,0,1,74.06795605555602,-0.13154871000004498,2.2755555555555556,runs/slope10_seed0_grid_dt_noafb.npz
10.0,0,marxefe,dt,1,1,31.19,32.85,nan,1.6600000000000001,2,-1.9114027691770397,-1.8228055383540793,-1,2,0,1,72.86714360988705,-0.09978438080541885,2.2755555555555556,runs/slope10_seed0_marxefe_dt_noafb.npz
10.0,0,noadapt,dt,1,1,31.19,32.63,nan,1.44,1,-2.0,-2.0,-1,1,0,1,74.06795605555602,-0.13154871000004498,2.2755555555555556,runs/slope10_seed0_noadapt_dt_noafb.npz
10.0,0,oracle,dt,1,1,31.19,32.56,nan,1.37,1,-2.0,-2.0,-1,1,0,1,74.06382708884983,-0.05623671079727188,2.2755555555555556,runs/slope10_seed0_oracle_dt_noafb.npz
10.0,1,bo,dt,1,1,30.02,31.94,0.13,1.92,2,-1.6392940863017371,-1.2785881726034742,-1,2,0,1,73.42309759137277,-0.01370396457565981,2.2755555555555556,runs/slope10_seed1_bo_dt_noafb.npz
10.0,1,grid,dt,1,1,30.02,31.94,0.13,1.92,2,-1.6392940863017371,-1.2785881726034742,-1,2,0,1,73.42309759137277,-0.01370396457565981,2.2755555555555556,runs/slope10_seed1_grid_dt_noafb.npz
10.0,1,marxefe,dt,1,1,30.02,31.96,0.09,1.94,2,-1.513861752076728,-1.027723504153456,-1,2,0,1,74.87854264234484,0.07219578638294344,2.2755555555555556,runs/slope10_seed1_marxefe_dt_noafb.npz
10.0,1,noadapt,dt,1,1,30.02,31.94,0.13,1.92,2,-1.6392940863017371,-1.2785881726034742,-1,2,0,1,73.42309759137277,-0.01370396457565981,2.2755555555555556,runs/slope10_seed1_noadapt_dt_noafb.npz
10.0,1,oracle,dt,1,1,30.02,31.69,nan,1.67,2,-1.7793395452021867,-1.5586790904043737,-1,2,0,1,73.10827940200646,-0.024140112962960814,2.2755555555555556,runs/slope10_seed1_oracle_dt_noafb.npz
