slope_deg,seed,method,trigger,triggered,fell,trigger_t,fall_t,squash_t,t_surv,n_windows,mean_J,best_J,win_to_good,n_proposals,n_pauses,n_triggers,max_roll,dist_on_slope,baseline_ce,npz
10.0,0,bo,ce,1,1,21.62,27.150000000000002,0.15,5.53,4,-0.055909776913649845,0.6157025423138469,0,4,0,1,70.65960257176367,3.436182294415472,0.3459859700783257,runs/slope10_seed0_bo_noafb.npz
10.0,0,grid,ce,1,1,21.62,28.14,0.15,6.5200000000000005,5,-0.3403393541504548,0.5920383020397035,0,5,0,1,67.96826347950858,3.716377951039334,0.3459859700783257,runs/slope10_seed0_grid_noafb.npz
10.0,0,marxefe,ce,1,1,21.62,33.62,0.19,12.0,9,-0.15387968727492585,0.6171494222530456,0,2,1,1,73.60833320437878,4.671317094667927,0.3459859700783257,runs/slope10_seed0_marxefe_noafb.npz
10.0,0,noadapt,ce,1,1,21.62,32.63,0.15,11.01,8,-0.051339503105188006,0.5993745302771678,0,2,1,1,74.06795605555602,4.232276075268189,0.3459859700783257,runs/slope10_seed0_noadapt_noafb.npz
10.0,0,oracle,ce,1,1,21.62,32.27,0.45,10.65,8,-0.2406145270579978,0.6316416249951624,0,2,1,1,73.06908405593927,4.042389032579051,0.3459859700783257,runs/slope10_seed0_oracle_noafb.npz
10.0,1,bo,ce,1,1,19.77,31.94,0.41000000000000003,12.17,9,-0.1476719224942061,0.5562542321025223,0,2,1,1,73.42309759137277,4.671018409449882,0.3892980437846698,runs/slope10_seed1_bo_noafb.npz
10.0,1,grid,ce,1,1,19.77,31.94,0.41000000000000003,12.17,9,-0.1476719224942061,0.5562542321025223,0,2,1,1,73.42309759137277,4.671018409449882,0.3892980437846698,runs/slope10_seed1_grid_noafb.npz
10.0,1,marxefe,ce,1,1,19.77,30.89,0.45,11.120000000000001,8,-0.02375851333297757,0.5812950318228284,0,2,1,1,73.86551680121869,4.331029153794827,0.3892980437846698,runs/slope10_seed1_marxefe_noafb.npz
10.0,1,noadapt,ce,1,1,19.77,31.94,0.41000000000000003,12.17,9,-0.1476719224942061,0.5562542321025223,0,2,1,1,73.42309759137277,4.671018409449882,0.3892980437846698,runs/slope10_seed1_noadapt_noafb.npz
10.0,1,oracle,ce,1,1,19.77,27.740000000000002,0.53,7.97,6,-0.06663337787695056,0.6420876864542268,0,2,1,1,71.41445596585105,3.2290686353510143,0.3892980437846698,runs/slope10_seed1_oracle_noafb.npz
