seed,method,trigger,triggered,fell,reached_end,dist,t_end,bands_crossed,trigger_t,fall_t,n_triggers,n_proposals,n_pauses,n_windows,mean_J,win_to_good,mean_tip,max_tip,mean_vx,baseline_ce,npz
0,bo,dt,1,1,0,20.276830510803375,33.6,3,33.35,33.6,1,1,0,1,-2.0,-1,6.270407405213595,58.503898988760184,0.61290490101623,2.2755555555555556,runs/nat_seed0_bo_dt.npz
0,grid,dt,1,1,0,20.276830510803375,33.6,3,33.35,33.6,1,1,0,1,-2.0,-1,6.270407405213595,58.503898988760184,0.61290490101623,2.2755555555555556,runs/nat_seed0_grid_dt.npz
0,marxefe,dt,1,1,0,20.277096513357467,33.6,3,33.35,33.6,1,1,0,1,-2.0,-1,6.270494588030639,58.51762994391468,0.612913706132221,2.2755555555555556,runs/nat_seed0_marxefe_dt.npz
0,noadapt,dt,1,1,0,20.276830510803375,33.6,3,33.35,33.6,1,1,0,1,-2.0,-1,6.270407405213595,58.503898988760184,0.61290490101623,2.2755555555555556,runs/nat_seed0_noadapt_dt.npz
1,bo,dt,1,1,0,25.345819437627263,43.45,3,43.21,43.45,1,1,0,1,-2.0,-1,4.929783839490371,58.070063671308894,0.5863111389046339,2.2755555555555556,runs/nat_seed1_bo_dt.npz
1,grid,dt,1,1,0,25.345819437627263,43.45,3,43.21,43.45,1,1,0,1,-2.0,-1,4.929783839490371,58.070063671308894,0.5863111389046339,2.2755555555555556,runs/nat_seed1_grid_dt.npz
1,marxefe,dt,1,1,0,25.345099603820902,43.45,3,43.21,43.45,1,1,0,1,-2.0,-1,4.930735485771345,58.52580657405234,0.5862931700128127,2.2755555555555556,runs/nat_seed1_marxefe_dt.npz
1,noadapt,dt,1,1,0,25.345819437627263,43.45,3,43.21,43.45,1,1,0,1,-2.0,-1,4.929783839490371,58.070063671308894,0.5863111389046339,2.2755555555555556,runs/nat_seed1_noadapt_dt.npz
2,bo,dt,1,1,0,29.841855612146528,50.88,4,50.54,50.88,1,1,0,1,-2.0,-1,4.284397373174812,49.38548292807844,0.5887205716221936,2.2755555555555556,runs/nat_seed2_bo_dt.npz
2,grid,dt,1,1,0,29.841855612146528,50.88,4,50.54,50.88,1,1,0,1,-2.0,-1,4.284397373174812,49.38548292807844,0.5887205716221936,2.2755555555555556,runs/nat_seed2_grid_dt.npz
2,marxefe,dt,1,1,0,29.846594867934662,50.88,4,50.54,50.88,1,1,0,1,-2.0,-1,4.283980467611592,49.347280111869026,0.5888203664376946,2.2755555555555556,runs/nat_seed2_marxefe_dt.npz
2,noadapt,dt,1,1,0,29.841855612146528,50.88,4,50.54,50.88,1,1,0,1,-2.0,-1,4.284397373174812,49.38548292807844,0.5887205716221936,2.2755555555555556,runs/nat_seed2_noadapt_dt.npz
3,bo,dt,1,0,1,44.00172349995045,78.35000000000001,6,38.050000000000004,nan,1,2,1,26,0.804464332652937,1,5.732499392715815,20.551015418901866,0.5621071694917553,2.2755555555555556,runs/nat_seed3_bo_dt.npz
3,grid,dt,1,0,1,44.00172349995045,78.35000000000001,6,38.050000000000004,nan,1,2,1,26,0.804464332652937,1,5.732499392715815,20.551015418901866,0.5621071694917553,2.2755555555555556,runs/nat_seed3_grid_dt.npz
3,marxefe,dt,1,1,0,23.75651080655352,46.07,3,38.050000000000004,46.07,2,3,1,6,-0.2197296108071777,1,8.78868173114949,74.49799758234313,0.5128945813426693,2.2755555555555556,runs/nat_seed3_marxefe_dt.npz
3,noadapt,dt,1,0,1,44.00172349995045,78.35000000000001,6,38.050000000000004,nan,1,2,1,26,0.804464332652937,1,5.732499392715815,20.551015418901866,0.5621071694917553,2.2755555555555556,runs/nat_seed3_noadapt_dt.npz
4,bo,dt,1,1,0,30.009528443997553,51.53,4,48.57,51.53,2,2,0,2,-1.036418555095409,-1,10.005158120335656,74.02346743768268,0.5845953076569786,2.2755555555555556,runs/nat_seed4_bo_dt.npz
4,grid,dt,1,1,0,31.457091293226842,52.77,4,48.57,52.77,2,2,1,3,-0.5486826691313332,1,10.303511067950874,82.77308949553782,0.5992300720906492,2.2755555555555556,runs/nat_seed4_grid_dt.npz
4,marxefe,dt,1,1,0,43.23546126116769,78.54,5,48.57,78.54,3,3,2,20,0.410122948603947,1,8.427318849633087,68.82805892583215,0.5504770582538534,2.2755555555555556,runs/nat_seed4_marxefe_dt.npz
4,noadapt,dt,1,1,0,31.938461227533054,56.53,4,48.57,56.53,2,3,1,6,-0.38072774001340076,1,10.465495658583992,76.04328335985655,0.5658891775337304,2.2755555555555556,runs/nat_seed4_noadapt_dt.npz
