seed,V,fell,n_trials,wall_s,coupling_gain,w_swing,w_stance,F_FAST,STOP_GAIN,hip_amp,knee_amp,b
4,0.834250989629094,False,60,770.8,12.0,21.0114,20.3893,25.0,0.1618,0.1,0.5,1.7554
7,0.8265787846763781,False,60,773.2,12.0,25.0,25.0,25.0,0.5,0.1,0.5,0.1
5,0.8538527452735716,False,60,785.8,12.0,20.2585,25.0,38.9594,0.05,0.1112,0.5,7.3608
1,0.8355460397972323,False,60,789.9,9.4106,14.028,23.9904,41.8429,0.4629,0.1542,0.8645,3.8759
3,0.8672224881225047,False,60,795.1,4.0,18.1274,25.0,25.0,0.3553,0.1,0.5,5.1108
9,0.8632697244426016,False,60,800.9,8.7006,16.4733,25.0,25.0,0.4259,0.1,0.6997,10.0
8,0.8544793675958224,False,60,804.8,11.1709,14.9957,25.0,45.4005,0.05,0.1252,0.5,10.0
0,0.8735369742334281,False,60,816.4,12.0,14.3749,25.0,60.0,0.5,0.1,0.5351,10.0
2,0.8534920002948089,False,60,818.4,12.0,21.2883,25.0,33.3128,0.05,0.1,0.5,10.0
6,0.8730989086251566,False,60,828.4,8.5233,14.9216,25.0,42.993,0.5,0.1,0.5,6.2521
10,0.8458305101926422,False,60,784.7,9.1556,21.9783,20.9409,27.6891,0.1179,0.1,0.5763,2.0471
14,0.8547454048971803,False,60,778.9,12.0,16.707,25.0,25.0,0.5,0.1,0.5,10.0
18,0.8552480978806201,False,60,770.0,11.3763,12.9403,25.0,58.2927,0.3806,0.1395,0.828,8.7942
15,0.8531924444691408,False,60,803.5,10.26,13.3195,23.3566,25.0,0.3318,0.1,0.5937,1.1156
19,0.847308321925528,False,60,774.4,9.9847,22.8192,25.0,60.0,0.05,0.1038,0.5797,10.0
17,0.8721565746941221,False,60,787.8,8.3564,14.647,25.0,38.9037,0.5,0.1,0.5,10.0
11,0.8427713923301736,False,60,833.6,8.5455,14.8325,25.0,60.0,0.05,0.1458,0.5,10.0
16,0.8777040161464821,False,60,802.7,11.0801,16.635,25.0,36.5925,0.5,0.1065,0.5256,8.8409
12,0.858979858619914,False,60,822.4,11.0685,25.0,25.0,25.0,0.05,0.1,0.5,10.0
13,0.8703774888754501,False,60,827.0,12.0,17.4877,25.0,43.9654,0.5,0.1,0.5,10.0
