slope_deg,seed,method,triggered,fell,trigger_t,fall_t,squash_t,t_surv,n_windows,mean_J,best_J,win_to_good,n_proposals,n_pauses,n_triggers,max_roll,dist_on_slope,baseline_ce,npz
10.0,0,bo,1,1,31.59,35.79,1.28,4.2,3,-0.6705505576498424,0.04840569660880878,0,3,0,1,72.16278936301615,1.1003558407005354,0.36473070319230044,runs/slope10_seed0_bo.npz
10.0,0,grid,1,1,31.59,37.0,1.28,5.41,4,-0.7463552522885188,0.04840569660880878,0,4,0,1,73.21777671836907,1.4004215673930354,0.36473070319230044,runs/slope10_seed0_grid.npz
10.0,0,marxefe,1,1,31.59,37.14,nan,5.55,4,-0.7107268695557686,0.0895058260508389,0,4,0,1,72.98130362775538,1.275062666657103,0.36473070319230044,runs/slope10_seed0_marxefe.npz
10.0,0,noadapt,1,1,31.59,36.410000000000004,1.28,4.82,4,-0.8509797539423628,0.04840569660880878,0,4,0,1,72.74516076854587,1.1183448084530614,0.36473070319230044,runs/slope10_seed0_noadapt.npz
10.0,0,oracle,1,1,31.59,39.02,0.72,7.43,5,-0.12560950081712208,0.44405308050611325,0,5,0,1,74.50426528967432,3.6371829698391984,0.36473070319230044,runs/slope10_seed0_oracle.npz
10.0,1,bo,0,0,nan,nan,nan,nan,0,nan,nan,-1,0,0,0,nan,nan,0.35860933119366706,runs/slope10_seed1_bo.npz
10.0,1,grid,0,0,nan,nan,nan,nan,0,nan,nan,-1,0,0,0,nan,nan,0.35860933119366706,runs/slope10_seed1_grid.npz
10.0,1,marxefe,0,0,nan,nan,nan,nan,0,nan,nan,-1,0,0,0,nan,nan,0.35860933119366706,runs/slope10_seed1_marxefe.npz
10.0,1,noadapt,0,0,nan,nan,nan,nan,0,nan,nan,-1,0,0,0,nan,nan,0.35860933119366706,runs/slope10_seed1_noadapt.npz
10.0,1,oracle,0,0,nan,nan,nan,nan,0,nan,nan,-1,0,0,0,nan,nan,0.35860933119366706,runs/slope10_seed1_oracle.npz
10.0,2,bo,1,1,10.72,15.91,0.49,5.19,4,-0.866141753436553,0.7133503073894925,0,4,0,1,65.85713495521536,1.397253210865781,0.36101794247682617,runs/slope10_seed2_bo.npz
10.0,2,grid,1,1,10.72,17.75,0.49,7.03,5,-0.16722416412972785,0.7470883916915786,0,5,0,1,71.68793667282115,4.796217009831557,0.36101794247682617,runs/slope10_seed2_grid.npz
10.0,2,marxefe,1,1,10.72,24.330000000000002,0.48,13.61,10,-0.02856604775914189,0.6359476822552608,0,2,1,1,71.6765592982749,5.084786854724592,0.36101794247682617,runs/slope10_seed2_marxefe.npz
10.0,2,noadapt,1,1,10.72,28.16,0.49,17.44,12,0.17025281991612573,0.6824523741190041,0,2,1,1,73.03153969015493,6.557263005840688,0.36101794247682617,runs/slope10_seed2_noadapt.npz
10.0,2,oracle,1,1,10.72,28.3,0.63,17.580000000000002,12,0.13369246190366837,0.7642230782282886,0,2,1,1,36.690671737842884,9.92385700310004,0.36101794247682617,runs/slope10_seed2_oracle.npz
10.0,3,bo,1,1,26.34,30.32,nan,3.98,3,-0.7661340628996604,0.23083407515536158,0,3,0,1,73.01417521849187,0.8228035552616308,0.3612882700468613,runs/slope10_seed3_bo.npz
10.0,3,grid,1,1,26.34,30.3,nan,3.96,3,-0.7661340628996604,0.23083407515536158,0,3,0,1,70.90016029188055,0.7224554730179147,0.3612882700468613,runs/slope10_seed3_grid.npz
10.0,3,marxefe,1,1,26.34,30.89,nan,4.55,4,-1.0231937099251833,0.13978758079885045,0,4,0,1,73.34117679089003,1.0505976901274359,0.3612882700468613,runs/slope10_seed3_marxefe.npz
10.0,3,noadapt,1,1,26.34,30.16,nan,3.8200000000000003,3,-0.7661340628996604,0.23083407515536158,0,3,0,1,73.02961832878756,0.8439196670201419,0.3612882700468613,runs/slope10_seed3_noadapt.npz
10.0,3,oracle,1,1,26.34,35.75,nan,9.41,7,-0.5682255532657722,0.4626396079269933,0,7,0,1,28.8119071744326,3.410749153790121,0.3612882700468613,runs/slope10_seed3_oracle.npz
10.0,4,bo,1,1,17.31,31.560000000000002,0.2,14.25,10,0.11501832036248283,0.6396059195307868,0,2,1,1,73.28991301203048,5.32029619438871,0.3574017483438547,runs/slope10_seed4_bo.npz
10.0,4,grid,1,1,17.31,31.560000000000002,0.2,14.25,10,0.11501832036248283,0.6396059195307868,0,2,1,1,73.28991301203048,5.32029619438871,0.3574017483438547,runs/slope10_seed4_grid.npz
10.0,4,marxefe,1,1,17.31,34.15,0.23,16.84,12,0.0743480058351396,0.6659487513530933,0,2,1,1,72.6525053085035,6.368161112708934,0.3574017483438547,runs/slope10_seed4_marxefe.npz
10.0,4,noadapt,1,1,17.31,31.560000000000002,0.2,14.25,10,0.11501832036248283,0.6396059195307868,0,2,1,1,73.28991301203048,5.32029619438871,0.3574017483438547,runs/slope10_seed4_noadapt.npz
10.0,4,oracle,1,1,17.31,32.78,0.6,15.47,11,-0.0827882162844387,0.7581326758489283,0,2,1,1,66.23797572269216,8.037613540860256,0.3574017483438547,runs/slope10_seed4_oracle.npz
10.0,5,bo,1,1,28.41,33.35,0.5700000000000001,4.94,4,-0.3998721511225796,0.29138529408765124,0,4,0,1,73.13838432505995,1.8121272944251423,0.3598813721805963,runs/slope10_seed5_bo.npz
10.0,5,grid,1,1,28.41,33.47,0.5700000000000001,5.0600000000000005,4,-0.42960834879003756,0.29138529408765124,0,4,0,1,66.17830321940843,1.5712116742446316,0.3598813721805963,runs/slope10_seed5_grid.npz
10.0,5,marxefe,1,1,28.41,33.410000000000004,0.8200000000000001,5.0,4,-0.5860489616667557,0.29110577744745747,0,4,0,1,72.55272838377834,1.34676379691191,0.3598813721805963,runs/slope10_seed5_marxefe.npz
10.0,5,noadapt,1,1,28.41,34.43,0.5700000000000001,6.0200000000000005,5,-0.7110254321514473,0.29138529408765124,0,5,0,1,68.5358926914953,1.7085159015853364,0.3598813721805963,runs/slope10_seed5_noadapt.npz
10.0,5,oracle,1,1,28.41,37.56,nan,9.15,7,-0.6845252559298408,0.45893694786089323,0,7,0,1,22.036256111108173,3.1709095778262775,0.3598813721805963,runs/slope10_seed5_oracle.npz
15.0,0,bo,1,1,10.43,17.150000000000002,0.35000000000000003,6.72,5,0.034966292167242854,0.7313035612105935,0,5,0,1,47.910314673900984,4.241976169513286,0.36600893769001475,runs/slope15_seed0_bo.npz
15.0,0,grid,1,1,10.43,16.3,0.35000000000000003,5.87,4,-0.01736342412355496,0.7811188896722847,0,4,0,1,72.15930667890777,4.098829148220231,0.36600893769001475,runs/slope15_seed0_grid.npz
15.0,0,marxefe,1,1,10.43,20.21,0.41000000000000003,9.78,7,0.045893481944801744,0.669854289446171,0,2,1,1,61.43860398203911,3.3798146320587232,0.36600893769001475,runs/slope15_seed0_marxefe.npz
15.0,0,noadapt,1,1,10.43,16.65,0.35000000000000003,6.22,5,-0.345331380913191,0.5580289448509796,0,2,1,1,65.69871423185633,1.854381907112928,0.36600893769001475,runs/slope15_seed0_noadapt.npz
15.0,0,oracle,1,1,10.43,18.93,0.71,8.5,6,0.095158192191605,0.8075686324859161,0,2,1,1,73.54970743679556,4.727400895700134,0.36600893769001475,runs/slope15_seed0_oracle.npz
15.0,1,bo,1,1,10.42,13.46,nan,3.04,3,-1.1778387674481536,0.0072226911986370546,0,3,0,1,63.23430183918214,0.6030767092146734,0.35838199479287974,runs/slope15_seed1_bo.npz
15.0,1,grid,1,1,10.42,13.46,nan,3.04,3,-1.1778387674481536,0.0072226911986370546,0,3,0,1,63.25547795009864,0.6031338178312868,0.35838199479287974,runs/slope15_seed1_grid.npz
15.0,1,marxefe,1,1,10.42,12.06,nan,1.6400000000000001,2,-1.5533374370804565,-1.106674874160913,-1,2,0,1,62.757519556453104,0.1819599033401884,0.35838199479287974,runs/slope15_seed1_marxefe.npz
15.0,1,noadapt,1,1,10.42,13.46,nan,3.04,3,-1.1778387674481536,0.0072226911986370546,0,3,0,1,63.22401055410825,0.6030074501083522,0.35838199479287974,runs/slope15_seed1_noadapt.npz
15.0,1,oracle,1,1,10.42,15.94,nan,5.5200000000000005,4,-0.17436973326413285,0.5671235013203139,0,4,0,1,73.47012065295371,2.506503521967262,0.35838199479287974,runs/slope15_seed1_oracle.npz
15.0,2,bo,1,1,12.16,17.490000000000002,0.22,5.33,4,-0.17083009090389611,0.7115983270530583,0,4,0,1,75.10971325521395,3.4307793589977136,0.3675572007611516,runs/slope15_seed2_bo.npz
15.0,2,grid,1,1,12.16,16.51,0.22,4.3500000000000005,3,-0.3955330946097784,0.5441678952348012,0,3,0,1,68.32541679556509,2.1553747369957454,0.3675572007611516,runs/slope15_seed2_grid.npz
15.0,2,marxefe,1,1,12.16,20.990000000000002,0.26,8.83,6,0.12290389892286073,0.6949776324454816,0,2,1,1,62.70014928025735,2.9888882997190374,0.3675572007611516,runs/slope15_seed2_marxefe.npz
15.0,2,noadapt,1,1,12.16,17.22,0.22,5.0600000000000005,4,-0.29212647096197364,0.6464355730429898,0,2,1,1,53.613193590206386,1.4267742102486798,0.3675572007611516,runs/slope15_seed2_noadapt.npz
15.0,2,oracle,1,1,12.16,19.47,0.8300000000000001,7.3100000000000005,5,0.04061134420918542,0.8184913273718902,0,2,1,1,73.54510326764361,3.66452449859922,0.3675572007611516,runs/slope15_seed2_oracle.npz
15.0,3,bo,1,1,10.27,13.63,0.07,3.36,3,-0.8081881436892312,0.1825669631794613,0,3,0,1,59.88114544706719,0.759835519486157,0.36230567852760104,runs/slope15_seed3_bo.npz
15.0,3,grid,1,1,10.27,13.63,0.07,3.36,3,-0.8081881436892312,0.1825669631794613,0,3,0,1,60.45639772084121,0.7617736487918609,0.36230567852760104,runs/slope15_seed3_grid.npz
15.0,3,marxefe,1,1,10.27,18.73,0.11,8.46,6,-0.027003614191440928,0.579312994501006,0,2,1,1,63.58087363290694,2.8234132086355146,0.36230567852760104,runs/slope15_seed3_marxefe.npz
15.0,3,noadapt,1,1,10.27,13.6,0.07,3.33,3,-0.8081881436892312,0.1825669631794613,0,3,0,1,58.96444826268507,0.76659406399581,0.36230567852760104,runs/slope15_seed3_noadapt.npz
15.0,3,oracle,1,1,10.27,18.04,1.09,7.7700000000000005,6,-0.14572843160261942,0.5878426003298858,0,6,0,1,72.73227280808256,4.1165110998338745,0.36230567852760104,runs/slope15_seed3_oracle.npz
15.0,4,bo,1,1,10.61,12.07,nan,1.46,1,-2.0,-2.0,-1,1,0,1,71.42697469196499,0.14400561965061343,0.3598925162894527,runs/slope15_seed4_bo.npz
15.0,4,grid,1,1,10.61,12.07,nan,1.46,1,-2.0,-2.0,-1,1,0,1,71.42697469196499,0.14400561965061343,0.3598925162894527,runs/slope15_seed4_grid.npz
15.0,4,marxefe,1,1,10.61,12.05,nan,1.44,1,-2.0,-2.0,-1,1,0,1,57.92903326176342,0.06246815772855552,0.3598925162894527,runs/slope15_seed4_marxefe.npz
15.0,4,noadapt,1,1,10.61,12.07,nan,1.46,1,-2.0,-2.0,-1,1,0,1,71.42697469196499,0.14400561965061343,0.3598925162894527,runs/slope15_seed4_noadapt.npz
15.0,4,oracle,1,1,10.61,12.34,nan,1.73,2,-1.5898750177385637,-1.1797500354771273,-1,2,0,1,64.27794458647911,0.24376277463113905,0.3598925162894527,runs/slope15_seed4_oracle.npz
15.0,5,bo,1,1,10.4,14.88,1.22,4.48,3,-0.49956609652875583,0.3743081101463082,0,3,0,1,72.24972869873606,1.7719800541690356,0.361247694688484,runs/slope15_seed5_bo.npz
15.0,5,grid,1,1,10.4,15.21,1.22,4.8100000000000005,4,-0.4719892949000114,0.3743081101463082,0,4,0,1,61.37302129330013,1.4649428602617638,0.361247694688484,runs/slope15_seed5_grid.npz
15.0,5,marxefe,1,1,10.4,12.86,nan,2.46,2,-1.044470355047387,-0.08894071009477411,-1,2,0,1,62.00993590077464,0.45013231220379346,0.361247694688484,runs/slope15_seed5_marxefe.npz
15.0,5,noadapt,1,1,10.4,15.14,1.22,4.74,4,-0.6275077402726917,0.3743081101463082,0,4,0,1,67.13880358624941,1.3009044117439084,0.361247694688484,runs/slope15_seed5_noadapt.npz
15.0,5,oracle,1,1,10.4,13.42,nan,3.02,3,-1.019840262160672,0.2842992455350093,0,3,0,1,70.93688747970205,1.174979490714227,0.361247694688484,runs/slope15_seed5_oracle.npz
