slope_deg,seed,method,trigger,triggered,fell,trigger_t,fall_t,squash_t,t_surv,n_windows,mean_J,best_J,win_to_good,n_proposals,n_pauses,n_triggers,max_roll,dist_on_slope,baseline_ce,npz
10.0,0,bo,dt,1,1,34.31,36.410000000000004,nan,2.1,2,-1.4694618278003544,-0.9389236556007086,-1,2,0,1,72.74516076854587,0.11303856195370088,2.2755555555555556,runs/slope10_seed0_bo_dt.npz
10.0,0,grid,dt,1,1,34.31,36.410000000000004,nan,2.1,2,-1.4694618278003544,-0.9389236556007086,-1,2,0,1,72.74516076854587,0.11303856195370088,2.2755555555555556,runs/slope10_seed0_grid_dt.npz
10.0,0,marxefe,dt,1,1,34.31,36.81,0.96,2.5,2,-1.2213412446524627,-0.4426824893049256,-1,2,0,1,72.12273684626223,0.2613141273431019,2.2755555555555556,runs/slope10_seed0_marxefe_dt.npz
10.0,0,noadapt,dt,1,1,34.31,36.410000000000004,nan,2.1,2,-1.4694618278003544,-0.9389236556007086,-1,2,0,1,72.74516076854587,0.11303856195370088,2.2755555555555556,runs/slope10_seed0_noadapt_dt.npz
10.0,0,oracle,dt,1,1,34.31,36.89,nan,2.58,2,-1.3411731236756343,-0.6823462473512687,-1,2,0,1,71.75402840322056,0.13903038395475775,2.2755555555555556,runs/slope10_seed0_oracle_dt.npz
10.0,1,bo,dt,0,0,nan,nan,nan,nan,0,nan,nan,-1,0,0,0,nan,nan,2.2755555555555556,runs/slope10_seed1_bo_dt.npz
10.0,1,grid,dt,0,0,nan,nan,nan,nan,0,nan,nan,-1,0,0,0,nan,nan,2.2755555555555556,runs/slope10_seed1_grid_dt.npz
10.0,1,marxefe,dt,0,0,nan,nan,nan,nan,0,nan,nan,-1,0,0,0,nan,nan,2.2755555555555556,runs/slope10_seed1_marxefe_dt.npz
10.0,1,noadapt,dt,0,0,nan,nan,nan,nan,0,nan,nan,-1,0,0,0,nan,nan,2.2755555555555556,runs/slope10_seed1_noadapt_dt.npz
10.0,1,oracle,dt,0,0,nan,nan,nan,nan,0,nan,nan,-1,0,0,0,nan,nan,2.2755555555555556,runs/slope10_seed1_oracle_dt.npz
