seed,valid,reason,y10,noadapt_triggered,noadapt_trigger_t,noadapt_fell,noadapt_t_surv,noadapt_frac_stable,noadapt_mean_J,noadapt_best_J,noadapt_n_windows,noadapt_win_to_good,noadapt_dist,noadapt_max_roll,noadapt_mean_vx,noadapt_windows,oracle_triggered,oracle_trigger_t,oracle_fell,oracle_t_surv,oracle_frac_stable,oracle_mean_J,oracle_best_J,oracle_n_windows,oracle_win_to_good,oracle_dist,oracle_max_roll,oracle_mean_vx,oracle_windows,grid_triggered,grid_trigger_t,grid_fell,grid_t_surv,grid_frac_stable,grid_mean_J,grid_best_J,grid_n_windows,grid_win_to_good,grid_dist,grid_max_roll,grid_mean_vx,grid_windows,bo_triggered,bo_trigger_t,bo_fell,bo_t_surv,bo_frac_stable,bo_mean_J,bo_best_J,bo_n_windows,bo_win_to_good,bo_dist,bo_max_roll,bo_mean_vx,bo_windows,marxefe_triggered,marxefe_trigger_t,marxefe_fell,marxefe_t_surv,marxefe_frac_stable,marxefe_mean_J,marxefe_best_J,marxefe_n_windows,marxefe_win_to_good,marxefe_dist,marxefe_max_roll,marxefe_mean_vx,marxefe_windows,trigger_spread
0,1,,5.120135497794836,1,10.13,0,20.0,0.0,-0.1619357698345234,-0.10683629669267902,13,nan,8.956024702491476,11.50805326084702,0.4479396534082182,"[-0.177, -0.107, -0.124, -0.153, -0.141, -0.156, -0.157, -0.164, -0.15, -0.152, -0.181, -0.25, -0.193]",1,10.13,1,11.55,0.0,-0.5001780961413604,-0.10262902836210275,8,nan,4.462301392009285,37.839842136654525,0.3862517091420559,"[-0.332, -0.194, -0.174, -0.145, -0.103, -0.576, -0.478, -2.0]",1,10.13,1,17.19,0.0,-0.35429674444125264,-0.05701639785900925,12,nan,7.9565385901706955,15.370591315817007,0.4627504044095121,"[-0.177, -0.107, -0.069, -0.267, -0.096, -0.132, -0.057, -0.114, -0.189, -0.35, -0.694, -2.0]",1,10.13,0,20.0,0.0,-0.12484876914363552,-0.06399864417022738,13,nan,10.034171909929142,12.066423174493776,0.5018470137801015,"[-0.177, -0.107, -0.064, -0.129, -0.097, -0.131, -0.143, -0.125, -0.103, -0.226, -0.078, -0.114, -0.13]",1,10.13,0,20.0,0.0,-0.1748485529194588,-0.11972752660144603,13,nan,8.904044438505426,12.437025178843637,0.4453406402089162,"[-0.164, -0.12, -0.135, -0.141, -0.142, -0.314, -0.203, -0.152, -0.244, -0.184, -0.154, -0.157, -0.165]",0
1,1,,5.140617001320933,1,10.26,1,19.02,0.0,-0.42842799848423074,-0.13098986696671955,13,nan,7.26107496087379,24.86320254604233,0.38175502156817853,"[-0.478, -0.443, -0.235, -0.131, -0.145, -0.178, -0.195, -0.214, -0.216, -0.201, -0.467, -0.665, -2.0]",1,10.26,0,20.0,0.0,-0.21469028985215755,-0.08474515059587318,13,nan,8.76585042718228,28.319525724823503,0.43847867633754656,"[-0.303, -0.263, -0.085, -0.181, -0.111, -0.112, -0.121, -0.099, -0.148, -0.153, -0.167, -0.221, -0.827]",1,10.26,1,8.35,0.0,-0.7035533724343978,-0.13746426561933522,6,nan,3.1182429049783416,16.858687854524728,0.37344090963480825,"[-0.478, -0.443, -0.137, -0.423, -0.74, -2.0]",1,10.26,1,11.05,0.0,-0.5238653793485744,-0.11599265444641671,8,nan,4.858466831270167,17.40751482645502,0.43961934275215475,"[-0.478, -0.443, -0.137, -0.116, -0.118, -0.419, -0.48, -2.0]",1,10.26,1,8.08,0.0,-0.8375026839687755,-0.47599090817369005,6,nan,2.25022600687664,18.662183162646667,0.2786092838622121,"[-0.476, -0.582, -0.479, -0.504, -0.983, -2.0]",0
2,1,,5.146322101003657,1,10.35,0,20.0,0.0,-0.17325430741258888,-0.12238203824920946,13,nan,8.762058241563139,12.09703222892704,0.4382327053489279,"[-0.243, -0.193, -0.139, -0.183, -0.135, -0.126, -0.16, -0.18, -0.122, -0.156, -0.127, -0.226, -0.263]",1,10.35,1,19.47,0.0,-0.2931935896902146,-0.1051249743989856,13,nan,8.506050756352852,33.086202286475896,0.4367888409531982,"[-0.334, -0.133, -0.144, -0.116, -0.133, -0.117, -0.215, -0.142, -0.105, -0.114, -0.129, -0.13, -2.0]",1,10.35,1,16.12,0.0,-0.34260772006303425,-0.07226339023656592,11,nan,7.078455468659387,16.512617083705816,0.43899884278207096,"[-0.243, -0.193, -0.121, -0.08, -0.073, -0.152, -0.072, -0.188, -0.182, -0.465, -2.0]",1,10.35,1,13.56,0.0,-0.5169493001067983,-0.06850010106864945,10,nan,6.354964763468921,20.074656520174173,0.4685011517232387,"[-0.243, -0.193, -0.069, -0.139, -0.071, -0.091, -0.101, -0.289, -1.975, -2.0]",1,10.35,0,20.0,0.0,-0.2448473839702617,-0.12885651240542495,13,nan,8.066219896757524,15.042307571530628,0.4034407881086472,"[-0.288, -0.241, -0.129, -0.187, -0.153, -0.197, -0.168, -0.227, -0.133, -0.233, -0.248, -0.225, -0.754]",0
3,1,,5.1217124323453715,1,9.950000000000001,0,20.0,0.008,-0.2462798598747596,-0.12134219980024452,13,nan,7.924372220594039,15.709568059239404,0.39634335464599346,"[-0.245, -0.221, -0.172, -0.167, -0.16, -0.145, -0.121, -0.147, -0.183, -0.169, -0.267, -0.247, -0.957]",1,9.950000000000001,0,20.0,0.008,-0.09982819142058098,-0.05645632564729064,13,nan,9.760646549111485,12.092850116879864,0.4881570710718656,"[-0.08, -0.142, -0.15, -0.087, -0.081, -0.097, -0.09, -0.056, -0.076, -0.072, -0.085, -0.155, -0.127]",1,9.950000000000001,1,13.94,0.011469534050179211,-0.4418977125761974,-0.08799631581442346,10,nan,6.090057438664829,15.979116083163198,0.436742101146282,"[-0.245, -0.221, -0.092, -0.248, -0.191, -0.171, -0.088, -0.29, -0.872, -2.0]",1,9.950000000000001,1,8.53,0.01873536299765808,-0.5738720662179,-0.09653521162225553,6,nan,3.257772897953334,26.146824584900752,0.38176437591090656,"[-0.245, -0.221, -0.097, -0.353, -0.527, -2.0]",1,9.950000000000001,1,19.8,0.008076728924785462,-0.4145374647695211,-0.13048958010593137,14,nan,7.645457500991252,15.30335273800902,0.3860652384309459,"[-0.288, -0.196, -0.132, -0.168, -0.13, -0.171, -0.176, -0.207, -0.18, -0.155, -0.254, -0.361, -1.383, -2.0]",0
4,1,,5.143629519783715,1,10.200000000000001,1,6.73,0.02373887240356083,-0.7941567705449841,-0.2944375700924141,5,nan,1.8846880729810547,19.509518246843374,0.28024419981184057,"[-0.294, -0.314, -0.482, -0.88, -2.0]",1,10.200000000000001,0,20.0,0.008,-0.13737680096433869,-0.05564803909263982,13,nan,9.425917988973978,13.013825289967025,0.47150379113623625,"[-0.218, -0.145, -0.238, -0.056, -0.094, -0.13, -0.118, -0.095, -0.182, -0.111, -0.109, -0.193, -0.097]",1,10.200000000000001,1,5.55,0.02877697841726619,-0.7258624423572495,-0.2944375700924141,4,nan,1.8238548888449317,16.429678920047337,0.32877926665390217,"[-0.294, -0.314, -0.295, -2.0]",1,10.200000000000001,1,5.7,0.028021015761821366,-0.7144161335949628,-0.24877181189668707,4,nan,2.0299815193626545,14.388186158402705,0.35624156797082385,"[-0.294, -0.314, -0.249, -2.0]",1,10.200000000000001,0,20.0,0.008,-0.19498938866451943,-0.1259444766960759,13,nan,8.780275895356471,13.187230113759826,0.4392216864553619,"[-0.207, -0.25, -0.173, -0.28, -0.337, -0.171, -0.192, -0.149, -0.137, -0.126, -0.179, -0.17, -0.164]",0
5,1,,5.119747651656039,1,10.93,1,5.65,0.0,-0.9247860191671607,-0.4780723039300092,4,nan,1.314033367229599,14.259591645976522,0.2322659738035897,"[-0.515, -0.478, -0.706, -2.0]",1,10.93,1,9.76,0.0,-0.5743692400237442,-0.1677497021520694,7,nan,3.6479893712451066,39.55711230293491,0.3734474325223996,"[-0.417, -0.168, -0.209, -0.344, -0.401, -0.482, -2.0]",1,10.93,1,5.4,0.0,-0.9146949959011039,-0.4780723039300092,4,nan,1.351814332538554,19.03493389104291,0.2499826944616023,"[-0.515, -0.478, -0.666, -2.0]",1,10.93,1,5.33,0.0,-0.8976270111469923,-0.4780723039300092,4,nan,1.3648114483528104,15.24566133830118,0.25569353798718014,"[-0.515, -0.478, -0.598, -2.0]",1,10.93,1,6.21,0.0,-1.0033183981670108,-0.5092010039067725,5,nan,1.5658778326404255,18.445317166875782,0.25184403169439673,"[-0.509, -0.583, -0.556, -1.368, -2.0]",0
6,1,,5.146827754864536,1,9.97,1,18.400000000000002,0.022270505160239002,-0.40158345236073756,-0.11707392248557813,13,nan,7.172871947285393,14.815981073691054,0.389777421769251,"[-0.206, -0.18, -0.129, -0.132, -0.138, -0.162, -0.117, -0.197, -0.175, -0.181, -0.362, -1.241, -2.0]",1,9.97,1,15.9,0.02702702702702703,-0.35741626612296096,-0.09444638799367411,11,nan,6.779679279791746,41.15685373464062,0.4263111041658254,"[-0.166, -0.134, -0.225, -0.099, -0.126, -0.094, -0.154, -0.122, -0.12, -0.691, -2.0]",1,9.97,1,10.27,0.03988326848249027,-0.49672936004148177,-0.06856278480870293,7,nan,4.178532619294667,22.48088195132116,0.4067571018269649,"[-0.206, -0.18, -0.069, -0.098, -0.4, -0.525, -2.0]",1,9.97,1,7.59,0.05394736842105263,-0.7061269571170833,-0.07250261258612922,6,nan,3.0202344171759234,19.398800700137013,0.3977848427187433,"[-0.206, -0.18, -0.073, -0.169, -1.609, -2.0]",1,9.97,1,14.030000000000001,0.030626780626780627,-0.48860548208791865,-0.1546057416142247,10,nan,5.106853093422301,14.444415853933577,0.36394469237242466,"[-0.22, -0.286, -0.172, -0.155, -0.2, -0.228, -0.182, -0.292, -1.151, -2.0]",0
7,1,,5.116177474604694,1,10.35,0,20.0,0.0,-0.18663068950724931,-0.12201467618065531,13,nan,8.695054155863648,12.64435020332401,0.43488779901968305,"[-0.247, -0.21, -0.133, -0.13, -0.126, -0.146, -0.135, -0.122, -0.123, -0.159, -0.175, -0.268, -0.453]",1,10.35,1,18.09,0.0,-0.4658108736175466,-0.06899260245308236,13,nan,7.8800648284640795,32.863090728446366,0.43551196977867657,"[-0.226, -0.106, -0.069, -0.092, -0.088, -0.148, -0.096, -0.163, -0.247, -0.163, -0.593, -2.066, -2.0]",1,10.35,0,20.0,0.0,-0.19807736929809056,-0.07300967848367668,13,nan,10.232371138650286,18.876086405456487,0.5117536481590139,"[-0.247, -0.21, -0.08, -0.158, -0.087, -0.073, -0.087, -0.093, -0.118, -0.2, -0.166, -0.349, -0.708]",1,10.35,0,20.0,0.0,-0.17651470217860415,-0.06828021890534308,13,nan,10.268638522779039,13.632595017902288,0.5135670173654507,"[-0.247, -0.21, -0.073, -0.102, -0.243, -0.165, -0.083, -0.312, -0.16, -0.265, -0.068, -0.231, -0.135]",1,10.35,0,20.0,0.0,-0.17005869834291418,-0.12809577614629797,13,nan,9.028861839261978,11.847562204391286,0.4515781831895996,"[-0.238, -0.143, -0.155, -0.144, -0.128, -0.152, -0.191, -0.216, -0.203, -0.131, -0.186, -0.151, -0.172]",0
8,1,,5.063542584976949,1,9.96,1,6.3500000000000005,0.0,-0.9991073529345078,-0.278435666667178,5,nan,1.5930226950513982,16.382998563443227,0.2509212817310138,"[-0.278, -0.507, -0.843, -1.366, -2.0]",1,9.96,1,16.88,0.0,-0.38956887275255986,-0.08760179749188413,12,nan,7.424279669345843,31.010434427823334,0.439734536773458,"[-0.166, -0.114, -0.121, -0.105, -0.095, -0.119, -0.088, -0.146, -0.122, -0.4, -1.2, -2.0]",1,9.96,1,5.24,0.0,-0.9131795122711248,-0.278435666667178,4,nan,1.5472816494468864,18.82951936475492,0.29526062975328354,"[-0.278, -0.507, -0.867, -2.0]",1,9.96,1,5.0,0.0,-0.9024139711671156,-0.278435666667178,4,nan,1.6276653946505322,21.34021290841724,0.3254495112591581,"[-0.278, -0.507, -0.824, -2.0]",1,9.96,0,20.0,0.0,-0.2102664066199057,-0.13365968106049797,13,nan,8.674262417316463,14.005202934619714,0.4338549537037162,"[-0.26, -0.491, -0.194, -0.134, -0.154, -0.148, -0.205, -0.216, -0.175, -0.235, -0.181, -0.155, -0.187]",0
9,1,,5.1159784574685325,1,10.4,0,20.0,0.0,-0.16055027684606532,-0.1205768876477693,13,nan,8.983395196411685,12.016280777299984,0.44923512653484804,"[-0.309, -0.136, -0.121, -0.125, -0.148, -0.133, -0.139, -0.13, -0.127, -0.168, -0.18, -0.184, -0.188]",1,10.4,1,7.5600000000000005,0.0,-0.922643687102808,-0.19306305542143343,6,nan,2.459148046986548,27.346594501557167,0.32502713094739927,"[-0.296, -0.193, -0.476, -0.382, -2.188, -2.0]",1,10.4,1,17.52,0.0,-0.34243398666842756,-0.04930606368155788,12,nan,7.6088797375662764,13.243992574578225,0.43412362075593663,"[-0.309, -0.136, -0.222, -0.192, -0.066, -0.119, -0.074, -0.168, -0.049, -0.371, -0.402, -2.0]",1,10.4,1,17.46,0.0,-0.3456382956115706,-0.07044920732028159,12,nan,7.985526260549014,15.965257565383867,0.45717421836487093,"[-0.309, -0.136, -0.099, -0.143, -0.07, -0.162, -0.096, -0.131, -0.093, -0.53, -0.378, -2.0]",1,10.4,0,20.0,0.0,-0.18663989410326665,-0.12271768098643288,13,nan,9.090437402329835,12.609372132774546,0.454587236830755,"[-0.325, -0.188, -0.153, -0.191, -0.25, -0.146, -0.182, -0.123, -0.175, -0.138, -0.173, -0.172, -0.21]",0
