seed,method,trigger,triggered,fell,reached_end,dist,t_end,bands_crossed,trigger_t,fall_t,n_triggers,n_proposals,n_pauses,n_windows,mean_J,win_to_good,mean_tip,max_tip,mean_vx,baseline_ce,npz
0,bo,dt,1,1,0,23.59721673924079,44.62,3,20.5,44.62,4,4,2,17,0.425564421460302,0,2.4462751893383725,35.34830844570918,0.5318565771388831,2.2755555555555556,runs/nat_seed0_bo_dt.npz
0,grid,dt,1,1,0,22.432839760343995,43.02,3,20.5,43.02,4,4,2,16,0.41364880495877887,0,2.3146960166479893,29.149578789201286,0.5239482638541343,2.2755555555555556,runs/nat_seed0_grid_dt.npz
0,marxefe,dt,1,1,0,22.564032455108716,46.76,3,20.5,46.76,4,4,2,18,0.3184907572813509,0,2.8515328906752293,50.13356408239213,0.4817906938276256,2.2755555555555556,runs/nat_seed0_marxefe_dt.npz
0,noadapt,dt,1,1,0,22.417230843550893,46.49,3,20.5,46.49,5,4,2,18,0.37358025676893963,0,2.6218518757735594,56.580233520487425,0.4814028023142988,2.2755555555555556,runs/nat_seed0_noadapt_dt.npz
1,bo,dt,0,0,0,41.088955146533756,79.99,5,nan,nan,0,0,0,0,nan,-1,0.8746754367078868,3.5216748001261506,0.5143672322378012,2.2755555555555556,runs/nat_seed1_bo_dt.npz
1,grid,dt,0,0,0,41.088955146533756,79.99,5,nan,nan,0,0,0,0,nan,-1,0.8746754367078868,3.5216748001261506,0.5143672322378012,2.2755555555555556,runs/nat_seed1_grid_dt.npz
1,marxefe,dt,0,0,0,41.088955146533756,79.99,5,nan,nan,0,0,0,0,nan,-1,0.8746754367078868,3.5216748001261506,0.5143672322378012,2.2755555555555556,runs/nat_seed1_marxefe_dt.npz
1,noadapt,dt,0,0,0,41.088955146533756,79.99,5,nan,nan,0,0,0,0,nan,-1,0.8746754367078868,3.5216748001261506,0.5143672322378012,2.2755555555555556,runs/nat_seed1_noadapt_dt.npz
2,bo,dt,1,1,0,30.03506532496672,51.57,4,43.25,51.57,3,4,1,6,-0.15326786867770326,0,2.8161084629185362,74.82876037493291,0.5883967436823555,2.2755555555555556,runs/nat_seed2_bo_dt.npz
2,grid,dt,1,1,0,27.8811616692282,48.32,4,43.25,48.32,2,3,1,4,-0.26075938746158567,0,2.4720865597350783,76.98784077209127,0.5830191732668021,2.2755555555555556,runs/nat_seed2_grid_dt.npz
2,marxefe,dt,1,0,0,40.457614036492586,79.99,5,43.25,nan,2,3,2,24,0.728632357265261,0,1.8399735693262373,14.33716541728855,0.5061554023778304,2.2755555555555556,runs/nat_seed2_marxefe_dt.npz
2,noadapt,dt,1,0,0,40.595209576712335,79.99,5,43.25,nan,1,2,1,24,0.7294453008798248,0,1.8513651641703526,11.134212399735649,0.507951688803677,2.2755555555555556,runs/nat_seed2_noadapt_dt.npz
3,bo,dt,1,1,0,34.06798374745393,56.6,4,45.9,56.6,2,2,1,8,0.3017808088551923,0,2.191329831371287,33.81672946475087,0.6087931200540319,2.2755555555555556,runs/nat_seed3_bo_dt.npz
3,grid,dt,1,1,0,29.524798993612333,57.120000000000005,4,45.9,57.120000000000005,5,4,3,8,-0.04348856517523579,0,2.698036771699101,46.09869286937574,0.5183453780799078,2.2755555555555556,runs/nat_seed3_grid_dt.npz
3,marxefe,dt,1,1,0,33.104109931749434,67.41,4,45.9,67.41,2,2,1,15,0.5206185287186258,0,1.9808227490854027,54.290424051655485,0.4909404577065059,2.2755555555555556,runs/nat_seed3_marxefe_dt.npz
3,noadapt,dt,1,1,0,35.285601444060894,71.25,5,45.9,71.25,3,3,2,17,0.5880951131396017,0,1.9249535043044816,58.579137192852464,0.4953065077318308,2.2755555555555556,runs/nat_seed3_noadapt_dt.npz
4,bo,dt,0,0,0,40.92823211024117,79.99,6,nan,nan,0,0,0,0,nan,-1,1.1806364583666935,5.800494370557999,0.5124708242295658,2.2755555555555556,runs/nat_seed4_bo_dt.npz
4,grid,dt,0,0,0,40.92823211024117,79.99,6,nan,nan,0,0,0,0,nan,-1,1.1806364583666935,5.800494370557999,0.5124708242295658,2.2755555555555556,runs/nat_seed4_grid_dt.npz
4,marxefe,dt,0,0,0,40.92823211024117,79.99,6,nan,nan,0,0,0,0,nan,-1,1.1806364583666935,5.800494370557999,0.5124708242295658,2.2755555555555556,runs/nat_seed4_marxefe_dt.npz
4,noadapt,dt,0,0,0,40.92823211024117,79.99,6,nan,nan,0,0,0,0,nan,-1,1.1806364583666935,5.800494370557999,0.5124708242295658,2.2755555555555556,runs/nat_seed4_noadapt_dt.npz
5,bo,dt,0,0,0,40.67129914058976,79.99,5,nan,nan,0,0,0,0,nan,-1,1.4068346939822969,9.86151042547831,0.5088620331020319,2.2755555555555556,runs/nat_seed5_bo_dt.npz
5,grid,dt,0,0,0,40.67129914058976,79.99,5,nan,nan,0,0,0,0,nan,-1,1.4068346939822969,9.86151042547831,0.5088620331020319,2.2755555555555556,runs/nat_seed5_grid_dt.npz
5,marxefe,dt,0,0,0,40.67129914058976,79.99,5,nan,nan,0,0,0,0,nan,-1,1.4068346939822969,9.86151042547831,0.5088620331020319,2.2755555555555556,runs/nat_seed5_marxefe_dt.npz
5,noadapt,dt,0,0,0,40.67129914058976,79.99,5,nan,nan,0,0,0,0,nan,-1,1.4068346939822969,9.86151042547831,0.5088620331020319,2.2755555555555556,runs/nat_seed5_noadapt_dt.npz
6,bo,dt,1,1,0,36.898239141242605,73.69,5,61.85,73.69,2,3,1,8,0.30060756378184295,1,1.9785393257057002,73.22736518408048,0.5010097944574707,2.2755555555555556,runs/nat_seed6_bo_dt.npz
6,grid,dt,1,1,0,42.55393694594103,77.06,5,61.85,77.06,3,3,2,11,0.27150783871256345,1,1.9382196625009025,38.3537921731325,0.5548620382117365,2.2755555555555556,runs/nat_seed6_grid_dt.npz
6,marxefe,dt,1,0,0,39.81273881419858,79.99,5,61.85,nan,4,6,3,12,0.33531420270353823,1,2.1430010394878596,18.21993356733538,0.49785232667514606,2.2755555555555556,runs/nat_seed6_marxefe_dt.npz
6,noadapt,dt,1,1,0,36.81057808019709,73.63,5,61.85,73.63,2,3,1,8,0.30060756378184295,1,1.959300372864645,75.66906942065152,0.500189742159947,2.2755555555555556,runs/nat_seed6_noadapt_dt.npz
7,bo,dt,1,1,0,38.34386665636271,75.55,6,75.3,75.55,1,1,0,1,-2.0,-1,1.4928130510023194,58.012869323295156,0.5080582570493885,2.2755555555555556,runs/nat_seed7_bo_dt.npz
7,grid,dt,1,1,0,38.34386665636271,75.55,6,75.3,75.55,1,1,0,1,-2.0,-1,1.4928130510023194,58.012869323295156,0.5080582570493885,2.2755555555555556,runs/nat_seed7_grid_dt.npz
7,marxefe,dt,1,1,0,38.34388670959388,75.55,6,75.3,75.55,1,1,0,1,-2.0,-1,1.4928108717399229,58.00693788108337,0.5080585349489334,2.2755555555555556,runs/nat_seed7_marxefe_dt.npz
7,noadapt,dt,1,1,0,38.34386665636271,75.55,6,75.3,75.55,1,1,0,1,-2.0,-1,1.4928130510023194,58.012869323295156,0.5080582570493885,2.2755555555555556,runs/nat_seed7_noadapt_dt.npz
8,bo,dt,1,0,0,40.87093134627084,79.99,6,77.65,nan,1,2,0,1,-0.07029403479818774,-1,1.1670426946217989,12.559351269464006,0.5117894429892963,2.2755555555555556,runs/nat_seed8_bo_dt.npz
8,grid,dt,1,0,0,40.87093134627084,79.99,6,77.65,nan,1,2,0,1,-0.07029403479818774,-1,1.1670426946217989,12.559351269464006,0.5117894429892963,2.2755555555555556,runs/nat_seed8_grid_dt.npz
8,marxefe,dt,1,0,0,40.872154569158255,79.99,6,77.65,nan,1,2,0,1,-0.07763650009686862,-1,1.1759757798800075,12.55962591804922,0.5118054119564944,2.2755555555555556,runs/nat_seed8_marxefe_dt.npz
8,noadapt,dt,1,0,0,40.87093134627084,79.99,6,77.65,nan,1,2,0,1,-0.07029403479818774,-1,1.1670426946217989,12.559351269464006,0.5117894429892963,2.2755555555555556,runs/nat_seed8_noadapt_dt.npz
9,bo,dt,1,1,0,5.049859845772706,10.790000000000001,1,9.27,10.790000000000001,1,2,0,2,-1.8284429195620264,-1,7.042319994492823,77.10070013984434,0.4541788366422634,2.2755555555555556,runs/nat_seed9_bo_dt.npz
9,grid,dt,1,1,0,5.049859845772706,10.790000000000001,1,9.27,10.790000000000001,1,2,0,2,-1.8284429195620264,-1,7.042319994492823,77.10070013984434,0.4541788366422634,2.2755555555555556,runs/nat_seed9_grid_dt.npz
9,marxefe,dt,1,1,0,5.02817803697512,10.71,1,9.27,10.71,1,1,0,1,-2.0,-1,6.867732681988279,76.20607837252756,0.4561805440375912,2.2755555555555556,runs/nat_seed9_marxefe_dt.npz
9,noadapt,dt,1,1,0,5.049859845772706,10.790000000000001,1,9.27,10.790000000000001,1,2,0,2,-1.8284429195620264,-1,7.042319994492823,77.10070013984434,0.4541788366422634,2.2755555555555556,runs/nat_seed9_noadapt_dt.npz
