seed,V,fell,n_trials,wall_s,coupling_gain,w_swing,w_stance,F_FAST,STOP_GAIN,hip_amp,knee_amp,b
2,-2.0,True,100,1412.4,6.8574,24.7861,16.4349,46.2565,0.4066,0.3349,0.5997,4.3264
9,-1.460948545235484,False,100,1974.5,12.0,25.0,25.0,60.0,0.05,0.1,1.0,0.1
0,0.7952587883905745,False,100,3587.8,12.0,25.0,23.2894,25.0,0.5,0.1237,0.5,10.0
8,0.8517328107418909,False,100,3761.9,12.0,25.0,25.0,60.0,0.05,0.1,0.5,0.1
1,0.5700808051805613,False,100,3865.7,12.0,25.0,25.0,60.0,0.05,0.1,0.5,10.0
5,0.7369516909409021,False,100,3918.9,4.0,11.2508,25.0,60.0,0.5,0.1252,0.5,10.0
7,0.7370252718454628,False,100,4026.7,11.0892,18.554,22.6949,49.9197,0.3109,0.116,0.5818,7.2848
6,0.8794370183452771,False,100,4236.7,6.9082,20.4052,25.0,44.7949,0.4045,0.1,0.5,10.0
3,0.7550894849037377,False,100,4474.0,12.0,25.0,25.0,60.0,0.05,0.1,0.5,10.0
4,0.720607987783443,False,100,4510.7,4.0,25.0,25.0,25.0,0.05,0.1,0.5,10.0
10,0.8863158585050109,False,100,3505.1,7.9778,25.0,17.2543,25.0,0.5,0.1,0.5,0.1
13,0.8208819884061573,False,100,1661.0,12.0,21.5508,24.3891,44.9895,0.2145,0.1,0.5,10.0
12,0.28041768832034264,False,100,1878.7,12.0,25.0,25.0,60.0,0.05,0.1,0.5,0.1
14,0.8202529484310039,False,100,1795.0,10.6504,25.0,25.0,26.8934,0.0564,0.1,0.5,6.4871
11,0.8488521788452108,False,100,3775.3,4.3461,25.0,25.0,26.5437,0.05,0.1,0.5,0.1237
15,0.7849654723411591,False,100,1853.3,4.0,25.0,25.0,25.0,0.05,0.1,0.5,10.0
16,0.8326091844201742,False,100,1856.0,8.8412,24.1202,25.0,59.451,0.3765,0.1,0.5376,10.0
19,0.6793720172719261,False,100,3468.7,12.0,10.0,25.0,60.0,0.5,0.1,0.5,10.0
18,0.7055225858379734,False,100,3510.2,5.1596,10.0,25.0,60.0,0.05,0.1,0.5,10.0
17,0.8222765617902708,False,100,4106.0,12.0,25.0,25.0,25.0,0.3637,0.1,0.5,1.7484
20,0.6149925970643191,False,100,3441.0,4.0,10.0,25.0,60.0,0.05,0.1,0.5,10.0
21,-2.0,True,100,2951.2,6.3659,23.1597,11.753,51.4334,0.2609,0.3215,0.7987,9.5715
27,-2.0,True,100,912.8,5.5916,16.9981,14.4967,49.4697,0.3484,0.1744,0.9851,8.9388
23,0.8671790057639137,False,100,3247.6,12.0,24.367,25.0,58.3405,0.4074,0.112,0.5,10.0
22,0.7960568450248476,False,100,3527.6,10.8868,10.0,25.0,56.2422,0.5,0.1,0.5,6.1608
25,0.6768952619464897,False,100,3483.1,4.0,10.0,25.0,25.0,0.5,0.1,0.5,10.0
24,0.8568397930751879,False,100,3565.4,12.0,25.0,25.0,60.0,0.3184,0.1,0.5376,0.1
29,0.6629283395807417,False,100,1065.0,4.0,13.1409,24.4853,25.0,0.05,0.1,0.5,10.0
26,0.7199520824939922,False,100,3518.3,4.0,10.0,25.0,56.7688,0.05,0.1,0.5,7.9871
31,0.8317031770226789,False,100,1159.4,12.0,25.0,25.0,60.0,0.05,0.1,0.5,10.0
28,0.8522526826353152,False,100,1668.5,9.6177,25.0,22.0523,25.0,0.4429,0.1,0.5,0.1
35,-2.0,True,100,884.6,7.0808,21.9976,13.1466,29.1199,0.172,0.2789,0.7812,4.6689
30,0.8507890102038829,False,100,1775.9,12.0,25.0,25.0,25.0,0.05,0.1,0.5,10.0
37,-2.0,True,100,887.6,6.954,17.7318,13.1362,59.3131,0.287,0.122,0.5282,8.9303
32,0.7779255271242712,False,100,1405.5,12.0,25.0,25.0,60.0,0.5,0.1,0.5,0.1
34,0.9090448948344667,False,100,1310.3,12.0,25.0,25.0,60.0,0.1882,0.1,0.5,10.0
33,0.7949132663134194,False,100,1493.5,4.5308,24.6726,25.0,52.0227,0.0548,0.1,0.5782,2.1295
36,0.8414746399032103,False,100,1556.2,12.0,25.0,25.0,46.639,0.05,0.1,0.5,0.1
39,0.7623254538075096,False,100,1347.1,6.1457,18.0774,21.9955,31.0062,0.3866,0.1577,0.9357,3.3633
38,0.7248848198055831,False,100,1760.7,4.0,10.0,25.0,60.0,0.5,0.1094,0.5,7.0351
43,-2.0,True,100,867.4,5.5619,15.1946,21.8012,40.1735,0.3033,0.1724,0.7624,4.2511
45,-2.0,True,100,918.0,5.303,12.2061,22.2735,41.9539,0.4908,0.3395,0.5493,2.9106
40,0.824595887760905,False,100,1618.0,11.6479,25.0,25.0,25.0,0.5,0.1,0.5,0.1
42,0.6097575956675892,False,100,1193.5,5.6668,10.0,24.4156,25.0,0.5,0.1,0.5,7.2405
44,0.8788776705215794,False,100,1270.8,12.0,22.5837,25.0,52.7484,0.4246,0.1,0.5,4.8126
41,0.807605741893428,False,100,1431.9,10.4652,14.3582,25.0,60.0,0.05,0.1,0.5,10.0
46,0.8651233194956289,False,100,1273.6,4.0,24.8253,25.0,25.0,0.05,0.1,0.5,10.0
48,0.7380713936185408,False,100,838.3,4.0,25.0,25.0,25.0,0.05,0.1,0.5,10.0
49,-2.0,True,100,565.0,10.7764,13.5802,20.4468,39.0376,0.3715,0.192,0.9104,6.6745
47,0.8258843519084962,False,100,912.2,12.0,25.0,25.0,25.0,0.5,0.1,0.5,6.8121
