terrain,seed,coupling_gain,w_swing,w_stance,F_FAST,STOP_GAIN,hip_amp,knee_amp,b
flat,0,4.0,10.0,25.0,60.0,0.316,0.1,0.729,7.762
flat,1,8.048,10.0,25.0,25.0,0.5,0.1,0.783,8.089
flat,2,4.0,11.415,25.0,60.0,0.5,0.1,0.5,10.0
flat,3,4.0,10.355,24.092,32.725,0.5,0.109,0.5,4.124
flat,4,4.0,12.917,25.0,32.422,0.5,0.1,0.5,10.0
friction,0,12.0,10.0,21.509,25.0,0.05,0.1,0.5,0.1
friction,1,4.0,12.959,25.0,28.415,0.5,0.1,0.5,10.0
friction,2,4.0,10.0,25.0,60.0,0.05,0.1,0.5,5.736
friction,3,5.695,12.014,25.0,25.0,0.257,0.1,0.5,10.0
friction,4,6.585,11.623,25.0,42.686,0.5,0.1,0.5,5.574
sloped,0,4.0,10.0,25.0,25.0,0.423,0.1,0.801,10.0
sloped,1,10.68,17.128,22.251,37.824,0.5,0.1,0.865,10.0
sloped,2,12.0,10.0,25.0,60.0,0.438,0.1,0.5,1.685
sloped,3,10.612,10.0,18.304,60.0,0.5,0.1,0.5,9.249
sloped,4,4.0,15.518,25.0,25.0,0.5,0.1,0.689,10.0
incline15,0,9.0957,14.0468,10.6146,25.5785,0.416,0.3282,0.8033,7.322
incline15,1,8.0946,24.257,12.1624,58.2027,0.1903,0.2058,0.9139,4.1511
incline15,2,6.0929,14.4774,22.2134,28.2171,0.32,0.2821,0.594,0.646
incline15,3,4.6852,13.5522,22.0191,45.3757,0.0924,0.2083,0.7395,1.6814
incline15,4,11.5444,17.6699,24.6437,27.8293,0.3233,0.1941,0.901,1.8278
incline20,0,9.0957,14.0468,10.6146,25.5785,0.416,0.3282,0.8033,7.322
incline20,1,8.0946,24.257,12.1624,58.2027,0.1903,0.2058,0.9139,4.1511
incline20,2,6.0929,14.4774,22.2134,28.2171,0.32,0.2821,0.594,0.646
incline20,3,4.6852,13.5522,22.0191,45.3757,0.0924,0.2083,0.7395,1.6814
incline20,4,11.5444,17.6699,24.6437,27.8293,0.3233,0.1941,0.901,1.8278
decline10,0,4.0,10.0,25.0,51.1356,0.2955,0.1,0.5,1.5706
decline10,1,4.0,10.0,20.2259,60.0,0.2487,0.1,1.0,3.4999
decline10,2,7.4834,10.0,10.0,60.0,0.4148,0.1707,0.5262,2.7947
decline10,3,8.476,10.0,12.2772,28.1017,0.0684,0.2188,0.5062,9.4507
decline10,4,12.0,10.3405,25.0,60.0,0.2836,0.1,0.711,5.679
